Series Name	Series Code	Country Name	Country Code	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Afghanistan	AFG	50.5	..	53.4
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Albania	ALB	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Algeria	DZA	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	American Samoa	ASM	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Andorra	AND	100	100	100
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Angola	AGO	..	49.6	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Antigua and Barbuda	ATG	100	..	100
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Argentina	ARG	99.6	98.4	93.9
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Armenia	ARM	..	99.8	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Aruba	ABW	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Australia	AUS	98.8	98.8	99.4
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Austria	AUT	98.5	98.4	98.4
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Azerbaijan	AZE	99.8	99.8	99.8
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Bahamas, The	BHS	98	99	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Bahrain	BHR	99.9	99.7	99.9
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Bangladesh	BGD	..	49.8	67.8
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Barbados	BRB	99	99.1	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Belarus	BLR	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Belgium	BEL	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Belize	BLZ	93.5	96.8	95.3
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Benin	BEN	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Bermuda	BMU	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Bhutan	BTN	89	89	96.4
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Bolivia	BOL	88.8	89.8	99.5
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Bosnia and Herzegovina	BIH	99.9	99.9	99.9
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Botswana	BWA	99.7	99.7	99.8
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Brazil	BRA	98.2	98.6	98.7
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	British Virgin Islands	VGB	..	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Brunei Darussalam	BRN	100	100	99.8
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Bulgaria	BGR	93.4	95.1	93.9
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Burkina Faso	BFA	79.8	..	..
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Burundi	BDI	..	77.6	79.1
Births attended by skilled health staff (% of total)	SH.STA.BRTC.ZS	Cabo Verde	CPV	91.4	92.6	92.4
